time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/iterations,train/clip_range,train/learning_rate,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/value_loss,train/loss,train/std,train/entropy_loss,train/approx_kl
2,222.75,744,2048,1000.0,1,,,,,,,,,,,
6,213.1875,619,4096,1000.0,2,0.2,1e-05,0.000341796875,-0.14870691299438477,-0.0025553352614224424,10,21.708209300041197,5.228377342224121,1.0001280307769775,-7.094963835179806,0.0005659062
10,207.70833333333334,592,6144,1000.0,3,0.2,1e-05,0.000390625,0.20117521286010742,-0.002799592498195125,20,14.119343272596598,10.973630905151367,1.0002262592315674,-7.095734494924545,0.0008819964
14,205.46875,580,8192,1000.0,4,0.2,1e-05,0.00078125,0.5977821350097656,-0.0018349827631027437,30,5.810253092646599,1.2765706777572632,0.9999352693557739,-7.09524796307087,0.00095443986
19,207.75,534,10240,1000.0,5,0.2,1e-05,0.000341796875,0.7070324718952179,-0.0015930845755065092,40,7.509021963179111,1.2891868352890015,1.0001375675201416,-7.0948350235819815,0.00062173884
